district_code,county_code,sub_county_code,sub_county_name
1,3,1,AKOKORO
1,3,2,APAC
1,3,3,"AKOKORO TOWN COUNCIL"
1,3,4,CHEGERE
1,3,5,IBUJE
1,3,6,"IBUJE TOWN COUNCIL"
1,3,7,TE-BOKE
1,3,8,APOI
1,291,1,"ATIK DIVISION"
1,291,2,"AKERE DIVISION"
1,291,3,"AGULLU DIVISION"
1,291,4,"AROCHA DIVISION"
2,7,1,ADUMI
2,7,2,AROI
2,7,3,OLUKO
2,7,4,PAJULU
2,7,5,MANIBE
2,7,6,DADAMU
2,7,7,AYIVUNI
2,11,1,AII-VU/AJIVU
2,11,2,BELEAFE
2,11,3,KATRINI
2,12,1,AJIA
2,12,2,ARIVU
2,12,3,LOGIRI
2,12,4,VURRA
2,13,1,"ARUA HILL"
2,13,2,"OLI RIVER"
2,279,4,OMUGO
2,279,5,ODUPI
2,279,6,URIAMA
3,14,1,BUBANDI
3,14,2,BUBUKWANGA
3,14,3,"BUNDIBUGYO TOWN COUNCIL"
3,14,4,BUSARU
3,14,5,"NYAHUKA  TOWN COUNCIL"
3,14,6,KIRUMYA
3,14,7,KISUBBA
3,14,8,MIRAMBI
3,14,9,BUNDINGOMA
3,14,10,TOKWE
3,14,11,"BUSUNGA TOWN COUNCIL"
3,14,12,"BUGANIKERE TOWN COUNCIL"
3,215,1,HARUGALI
3,215,2,KASITU
3,215,3,NDUGUTU
3,215,4,BUKONZO
3,215,5,NTOTORO
3,215,6,SINDILA
3,215,7,NGAMBA
3,215,8,BURONDO
3,215,9,KAGUGU
3,215,10,"NTANDI TOWN COUNCIL"
3,215,11,MABERE
3,215,12,"BUTAMA-MITUNDA TOWN COUNCIL"
3,215,13,MBATYA
3,215,14,NGITE
4,18,1,BUMBAIRE
4,18,2,KYABUGIMBI
4,18,3,KYEIZOOBA
4,18,4,"KYABUGIMBI TOWN COUNCIL"
4,18,5,IBAARE
4,18,6,RUHUMURO
4,18,7,"RWENTUHA TOWN COUNCIL"
4,19,1,"KYAMUHUNGA TOWN COUNCIL"
4,19,2,KAKANJU
4,19,3,KYAMUHUNGA
4,19,4,NYABUBARE
4,19,5,"BITOOMA TOWN COUNCIL"
4,19,6,"KIZINDA TOWN COUNCIL"
4,19,7,NKANGA
4,225,1,"CENTRAL DIVISION"
4,225,2,"ISHAKA DIVISION"
4,225,3,"NYAKABIRIZI DIVISION"
5,23,1,AWACH
5,23,2,BUNGATIRA
5,23,3,PAICHO
5,23,4,PALARO
5,23,5,PATIKO
5,23,6,UNYAMA
5,23,7,LALIYA
5,23,8,OMEL
5,23,9,OWALO
5,23,10,OWOO
5,23,11,PAIBONA
5,23,12,PUKONY
5,27,1,BAR-DEGE
5,27,2,LAROO
5,27,3,LAYIBI
5,27,4,PECE
6,28,1,BUHANIKA
6,28,2,BUSERUKA
6,28,7,KITOBA
6,28,8,KYABIGAMBIRE
6,28,9,KABAALE
6,28,10,BURARU
6,227,1,"BUJUMBURA DIVISION"
6,227,2,"MPARO DIVISION"
6,227,3,"BUSIISI DIVISION"
6,227,4,"KAHOORA DIVISION"
6,264,1,KAPAAPI
6,264,2,BOMBO
6,264,3,KISUKUMA
6,264,4,KIGANJA
6,264,5,KIGOROBYA
6,264,6,"KIGOROBYA TOWN COUNCIL"
6,264,7,KIJONGO
7,38,1,NABITENDE
7,38,2,NAMBALE
7,38,3,NAMUNGALWE
7,38,4,NAWANDALA
7,38,5,KIDAAGO
7,39,1,BULAMAGI
7,39,3,NAKALAMA
7,39,4,NAKIGO
7,39,5,NAWANYINGI
7,228,1,"CENTRAL DIVISION"
7,228,2,"NORTHERN DIVISION"
8,41,1,BUSEDDE
8,41,2,"KAKIRA TOWN COUNCIL"
8,41,3,MAFUBIRA
8,41,4,"BUGEMBE TOWN COUNCIL"
8,42,1,BUDONDO
8,42,2,BUTAGAYA
8,42,3,BUWENGE
8,42,4,"BUWENGE TOWN COUNCIL"
8,42,5,BUYENGO
8,43,1,"JINJA CENTRAL"
8,43,2,WALUKUBA/MASESE
8,44,1,"JINJA CENTRAL"
8,44,2,"KIMAKA /MPUMUDDE"
9,45,1,BUHARA
9,45,2,KAHARO
9,45,3,KYANAMIRA
9,45,4,MAZIBA
9,46,1,KAMUGANGUZI
9,46,2,KITUMBA
9,46,3,RUBAYA
9,46,4,BUTANDA
9,46,5,"KATUNA TOWN COUNCIL"
9,46,6,"RYAKARIMIRA TOWN COUNCIL"
9,46,7,KIBUGA
9,46,8,KAHUNGYE
9,50,1,"KABALE CENTRAL"
9,50,2,"KABALE NORTHERN"
9,50,3,"KABALE SOUTHERN"
10,52,1,BUKUUKU
10,52,2,BUSORO
10,52,3,HAKIBALE
10,52,4,KARAMBI
10,52,5,KICWAMBA
10,52,6,MUGUSU
10,52,7,RUTEETE
10,52,8,KASENDA
10,52,9,KARANGURA
10,52,10,"KIJURA TOWN COUNCIL"
10,52,11,"KIKO TOWN COUNCIL"
10,52,12,"KARAGO TOWN COUNCIL"
10,52,13,HARUGONGO
10,52,14,KABENDE
10,52,15,"MUGUSU TOWN COUNCIL"
10,52,16,"KASENDA TOWN COUNCIL"
10,52,17,KIGUMA
10,52,18,RWENGAJU
10,58,1,"EASTERN DIVISION"
10,58,2,"SOUTHERN DIVISION"
10,58,3,"WESTERN  DIVISION"
11,59,1,BUJUMBA
11,59,2,"KALANGALA TOWN COUNCIL"
11,59,3,MUGOYE
11,60,1,BUFUMIRA
11,60,2,BUBEKE
11,60,3,KYAMUSWA
11,60,4,MAZINGA
12,61,1,"KAMPALA CENTRAL"
12,62,1,"KAWEMPE DIVISION"
12,63,1,"KAWEMPE DIVISION"
12,63,2,"MAKERERE UNIVERSITY"
12,64,1,"MAKINDYE DIVISION"
12,65,1,"MAKINDYE DIVISION"
12,66,1,"RUBAGA DIVISION"
12,67,1,"RUBAGA DIVISION"
12,68,1,NAKAWA
13,70,1,BALAWOLI
13,70,3,NABWIGULU
13,70,4,NAMASAGALI
13,70,5,"BALAWOLI TOWN COUNCIL"
13,70,6,KAGUMBA
13,71,1,BULOPA
13,71,2,BUTANSI
13,71,3,KITAYUNJWA
13,71,4,NAMWENDWA
13,71,5,"NAMWENDWA TOWN COUNCIL"
13,73,1,BUGULUMBYA
13,73,2,KISOZI
13,73,3,MBULAMUTI
13,73,4,NAWANYAGO
13,73,5,WANKOLE
13,73,6,MAGOGO
13,73,7,"KISOZI TOWN COUNCIL"
13,73,8,"MBULAMUTI TOWN COUNCIL"
13,73,9,"KASAMBIRA TOWN COUNCIL"
13,73,10,"NAWANYAGO TOWN COUNCIL"
13,282,1,"NORTHERN DIVISION"
13,282,2,"SOUTHERN DIVISION"
14,76,2,KAPTANYA
14,76,3,KASEREM
14,76,4,SIPI
14,76,6,CHEMA
14,76,7,KAWOWO
14,76,8,GAMOGO
14,76,9,KABEYWA
14,76,11,KAPSINDA
14,76,13,MUNARYA
